-- test heap table sequence 
-- create table
CREATE TABLE IF NOT EXISTS t1 (a INT, b INT, c TEXT) WITH(APPENDONLY=true, ORIENTATION=column) DISTRIBUTED BY(a);
-- SET VECTORIZATION ON
SET vector.enable_vectorization=ON;
SET hashdata_use_late_materialize=ON;
ERROR:  unrecognized configuration parameter "hashdata_use_late_materialize"
-- SET MAX VERTORIZATION COUNT
SET vector.max_batch_size=128;
-- load data
SET vector.enable_vectorization=OFF;
INSERT INTO t1 SELECT i, i % 16, chr(65 + i % 26)  FROM GENERATE_SERIES(1, 2048) i;
-- start query
SET vector.enable_vectorization=ON;
SELECT * FROM t1 WHERE b = 1 ORDER BY a, c;
  a   | b | c 
------+---+---
    1 | 1 | B
   17 | 1 | R
   33 | 1 | H
   49 | 1 | X
   65 | 1 | N
   81 | 1 | D
   97 | 1 | T
  113 | 1 | J
  129 | 1 | Z
  145 | 1 | P
  161 | 1 | F
  177 | 1 | V
  193 | 1 | L
  209 | 1 | B
  225 | 1 | R
  241 | 1 | H
  257 | 1 | X
  273 | 1 | N
  289 | 1 | D
  305 | 1 | T
  321 | 1 | J
  337 | 1 | Z
  353 | 1 | P
  369 | 1 | F
  385 | 1 | V
  401 | 1 | L
  417 | 1 | B
  433 | 1 | R
  449 | 1 | H
  465 | 1 | X
  481 | 1 | N
  497 | 1 | D
  513 | 1 | T
  529 | 1 | J
  545 | 1 | Z
  561 | 1 | P
  577 | 1 | F
  593 | 1 | V
  609 | 1 | L
  625 | 1 | B
  641 | 1 | R
  657 | 1 | H
  673 | 1 | X
  689 | 1 | N
  705 | 1 | D
  721 | 1 | T
  737 | 1 | J
  753 | 1 | Z
  769 | 1 | P
  785 | 1 | F
  801 | 1 | V
  817 | 1 | L
  833 | 1 | B
  849 | 1 | R
  865 | 1 | H
  881 | 1 | X
  897 | 1 | N
  913 | 1 | D
  929 | 1 | T
  945 | 1 | J
  961 | 1 | Z
  977 | 1 | P
  993 | 1 | F
 1009 | 1 | V
 1025 | 1 | L
 1041 | 1 | B
 1057 | 1 | R
 1073 | 1 | H
 1089 | 1 | X
 1105 | 1 | N
 1121 | 1 | D
 1137 | 1 | T
 1153 | 1 | J
 1169 | 1 | Z
 1185 | 1 | P
 1201 | 1 | F
 1217 | 1 | V
 1233 | 1 | L
 1249 | 1 | B
 1265 | 1 | R
 1281 | 1 | H
 1297 | 1 | X
 1313 | 1 | N
 1329 | 1 | D
 1345 | 1 | T
 1361 | 1 | J
 1377 | 1 | Z
 1393 | 1 | P
 1409 | 1 | F
 1425 | 1 | V
 1441 | 1 | L
 1457 | 1 | B
 1473 | 1 | R
 1489 | 1 | H
 1505 | 1 | X
 1521 | 1 | N
 1537 | 1 | D
 1553 | 1 | T
 1569 | 1 | J
 1585 | 1 | Z
 1601 | 1 | P
 1617 | 1 | F
 1633 | 1 | V
 1649 | 1 | L
 1665 | 1 | B
 1681 | 1 | R
 1697 | 1 | H
 1713 | 1 | X
 1729 | 1 | N
 1745 | 1 | D
 1761 | 1 | T
 1777 | 1 | J
 1793 | 1 | Z
 1809 | 1 | P
 1825 | 1 | F
 1841 | 1 | V
 1857 | 1 | L
 1873 | 1 | B
 1889 | 1 | R
 1905 | 1 | H
